,Year,Change in Temperature (°C),Type,Scenario
0,1850.0,-0.008743877118149612,gcm data point,historical
1,1850.0,-4.310148578946496,gcm data point,historical
2,1850.0,-2.5952550250055424,gcm data point,historical
3,1850.0,-0.7436891314207514,gcm data point,historical
4,1850.0,-0.788383534380273,gcm data point,historical
5,1850.0,0.07235122547450601,gcm data point,historical
6,1850.0,0.19654882871890322,gcm data point,historical
7,1850.0,0.8785955189858896,gcm data point,historical
8,1850.0,-0.8925163134523473,gcm data point,historical
9,1850.0,-1.3841588707982169,gcm data point,historical
10,1850.0,-2.803673708905876,gcm data point,historical
11,1850.0,-2.86782996213401,gcm data point,historical
12,1850.0,-2.2306084615913733,gcm data point,historical
13,1850.0,-4.750301133303651,gcm data point,historical
14,1850.0,-4.134769999270475,gcm data point,historical
15,1850.0,-2.9834548145398685,gcm data point,historical
16,1850.0,-1.5580269666303366,gcm data point,historical
17,1850.0,-1.8368033871826128,gcm data point,historical
18,1850.0,-2.2546961776819217,gcm data point,historical
19,1850.0,-4.51486026861528,gcm data point,historical
20,1850.0,-3.698377511892147,gcm data point,historical
21,1850.0,-3.0972299168730046,gcm data point,historical
22,1850.0,-0.2570608185657193,gcm data point,historical
23,1850.0,-1.2216936987130111,gcm data point,historical
24,1850.0,-4.559535486996197,gcm data point,historical
25,1850.0,2.126695287140933,gcm data point,historical
26,1850.0,0.769236799026146,gcm data point,historical
27,1850.0,-0.5263076617451361,gcm data point,historical
28,1850.0,-3.895537602201216,gcm data point,historical
29,1850.0,-1.474419721926779,gcm data point,historical
30,1850.0,-1.3638955261259298,gcm data point,historical
31,1851.0,-0.8351900776461889,gcm data point,historical
32,1851.0,-3.2181402647748314,gcm data point,historical
33,1851.0,-2.572149120179688,gcm data point,historical
34,1851.0,-1.573943186223346,gcm data point,historical
35,1851.0,-2.1076358022954764,gcm data point,historical
36,1851.0,0.35793530728875567,gcm data point,historical
37,1851.0,0.27314809993197287,gcm data point,historical
38,1851.0,0.1860108648517098,gcm data point,historical
39,1851.0,0.1978479095023431,gcm data point,historical
40,1851.0,-1.5141397703750954,gcm data point,historical
41,1851.0,-2.0724333734024185,gcm data point,historical
42,1851.0,-3.4784729706246935,gcm data point,historical
43,1851.0,-2.3610443746773626,gcm data point,historical
44,1851.0,-4.15468889372039,gcm data point,historical
45,1851.0,-4.428322617678646,gcm data point,historical
46,1851.0,-1.3938987389086037,gcm data point,historical
47,1851.0,-0.8453208696236061,gcm data point,historical
48,1851.0,-0.6430187644762668,gcm data point,historical
49,1851.0,-2.7356997592709718,gcm data point,historical
50,1851.0,-3.0051864724177335,gcm data point,historical
51,1851.0,-4.548121926513488,gcm data point,historical
52,1851.0,-2.1343400810575304,gcm data point,historical
53,1851.0,0.0740665109427141,gcm data point,historical
54,1851.0,-0.3363927282540544,gcm data point,historical
55,1851.0,-4.350925456270204,gcm data point,historical
56,1851.0,1.9837783473504942,gcm data point,historical
57,1851.0,0.11704931356814541,gcm data point,historical
58,1851.0,-1.73924653377901,gcm data point,historical
59,1851.0,-3.6574012892431256,gcm data point,historical
60,1851.0,-1.9561000075983657,gcm data point,historical
61,1851.0,-1.309418710045179,gcm data point,historical
62,1852.0,0.08897616638961381,gcm data point,historical
63,1852.0,-2.87206577682025,gcm data point,historical
64,1852.0,-3.3015465337212504,gcm data point,historical
65,1852.0,-1.3351503716070283,gcm data point,historical
66,1852.0,-1.2042878820616352,gcm data point,historical
67,1852.0,1.6869391774331461,gcm data point,historical
68,1852.0,0.5164606470240187,gcm data point,historical
69,1852.0,1.6752999002249567,gcm data point,historical
70,1852.0,-0.916955648114822,gcm data point,historical
71,1852.0,-1.9062206059870164,gcm data point,historical
